convenience,supermarket,car_repair,hardware,chemist,hairdresser,bakery,car_parts,electronics,alcohol,beverages,department_store,beauty,funeral_directors,motorcycle,Location,Date_Extracted,car,pawnbroker,clothes,computer,water,ticket,books,shoes,doityourself,mobile_phone,mall,boutique,bicycle,travel_agency,laundry,variety_store,butcher,radiotechnics,optician,general,bookmaker,stationery,tyres,trade,copyshop,furniture,sports,locksmith,greengrocer,garden_centre,appliance,yes,hifi,religion,pastry,wholesale,gift,company,tailor,newsagent,kiosk,massage,food,tea,vulcanizing,fashion,money_lender,photo,weapons,money_transfer,second_hand,chocolate,rice,watches,farm,confectionery,tire_repair,general_store,florist,seafood,tattoo,pet,printing,motorcycle_parts,lottery,cosmetics,scuba_diving,printer_ink,gas,fashion_accessories,motorcycle_repair,cell_phones,resturaunt,security,e-cigarette,collector,musical_instrument,tiles,trophy,jewelry,party,health_food,erotic,"beauty, hairdresser",sgift,deli,paint,agrarian,atv,outdoor,grocery,vacant,storage_rental,security_dogs,Heavy Equipment Repair Shop,souvenir,surf,coffee,toys,candles,water_refilling_station,art,houseware,medical_supply,fabric,lighting,herbalist,telecommunication,animal_supply,perfumery,wine,water_station,pro_shop,medical,model,bed,country_store,music,service_center,bag,hydraulic_hose,interior_decoration,flooring,Agri of Batangas,public_market,rental,glaziery,nutrition_supplements,salisali store,bottle_shop,shoe_repair,curtain,tobacco,frozen_food,craft,sunglasses,Equipment,baby_goods,camera,doors,leather,Baguio_Products_Souvenir_Shop,machine_shop,swimming_pool,video_games,sewing,outpost,electrical,surplus,Ballmill_maker,fishing,repair,photo_studio,dry_cleaning,no,emission_testing,water refilling,upholstery,storage,bakery;department_store,Car Aircon,antiques,native_products,corn_rice_mill,truck,pet_grooming,kitchen,eggs,variety,mattress,auction,courier,advertising,vulcanizing_shop,junk_yard,hairdresser_supply,hvac,fuel,office_supplies,spa,barber,cheese,Tire dealer,supermarket;department_store,dairy,Surplus,electronics;mobile_phone,postal_courier,sanitation;pest_control,hearing_aids,tattoo;tea,honey,water_supply,household_linen,charity,school supply,pharmacy,dive,balloons,electrical_repair,load_outlet,sharpener,Resthouse,specialty_food,welding,metal_fabricator,catering,empty drums,takeway,upholstery_shop,baking_supplies,bubble_tea_supplies,ice,video,frame,Plumbing Supply And Services,car_accessories,CBG,Concept_Store,Heavy_equipment_Supplier,Novelty Store,For Sale,Teodor Service Center,games,ticketing,business_center,animal_health,funeral_service,pet_supply,hardware;trade,water_refilling,Electrical_Computer_Cafe_Convenience_Store,pottery,towing,computer_repair,Woodcraft,motorcycle;motorcycle_repair,appliance;agrarian,Auto_Chemistry_Shop,insurance,gun,window_blind,school_supplies,power_tools,internet_cafe,Pretty Kay Trading,lending,corn/rice mill,commercial,junkshop,restaurant,lumber,clothes;hairdresser,"computer,_mobile_phone,_gadgets",ship_chandler,drinks,public market,printing shop,"clothes,_gluta",Vulcanizing,electronics;motorcycle;computer;confectionery;bakery,hobby,"printing_shop,_school_supplies,_photocopy,_lamination,_tarpaulin,_computer_servicing",scooter,military equipment,photography,public_building,tube_ice,pest_control,agrivet,"clothes,_Shoe,_Sandals,_Slappers,_ETC.",hunting,???,truck_repair,"laundry_shop_,_Pasalubong_shop",bottle,carpet,fish_monger,farm_supply,machine,Wensha Healthy Drinking Water,wood_carving,Internet Shop,anime,Water Station,Trade (Betis House of Decor),RJA Lumber and Hardware,energy,"repair, welding, junk shop",trade;laundry,tractor,guns,shoes;motorcycle,glass_and_aluminum,helmet,Kasiglahan Market,military_surplus,etc_shop,tofu,bridal,Fruits and Vegetable Section,fish,party_needs,communication,Printing_/_Copy_Shop_/_Tarpaulin_Printing,estate_agent,sewing_machine,aluminum and glass,business_service,lawyer,cottage_food,cottage_shop,charcoal,wellness,utilities,nuts,Private,vacuum_cleaner,Exotic Foods,Coffee Project,hardware;bicycle,appliance;motorcycle,school_supplies_store,MilkTea_Shop,water_sports,electronics repair,roof,electronics_repair,solar,tatto,motor,soap,print,printing_shop
180,9,3,16,,,10,2,2,,4,12,1,6,2,North Cotabato,01/09/2023,3,11,5,3,2,,,,1,,2,1,,1,1,4,2,,,,,,2,1,1,4,2,,5,1,1,,,,,,1,,,,2,,,,,,,3,,,,,,,,1,,,2,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9,3,22,,2,13,,1,,1,4,,1,1,Northern Samar,01/09/2023,2,4,3,3,1,1,4,,,,1,,,1,3,7,1,,2,,,,1,,6,3,,,,,,,,,,2,1,,,,,,,,,,1,1,,,,,,,,1,,,,4,,2,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,46,52,35,8,17,54,37,10,1,1,13,2,15,120,Nueva Ecija,01/09/2023,17,90,24,6,17,,8,2,6,10,12,,16,1,6,344,10,,4,27,1,3,13,153,2,17,,,8,2,11,6,2,,19,2,,,,,1,3,,4,,,3,5,,,,,3,,,3,,,11,,,24,1,6,5,5,,,6,,1,,,,5,,,,,,1,,,,,,17,5,,,5,1,,,,,,,1,,,4,,9,1,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,17,11,8,1,3,11,4,1,,,7,2,,9,Nueva Vizcaya,01/09/2023,1,5,6,3,2,,6,2,3,6,1,,1,,1,,1,,,1,1,,2,1,1,,,,2,,4,3,,,,1,1,,1,,2,,,,,,,1,,,,,,,,,,,2,,,2,,1,,1,,,,2,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2,7,18,,8,16,7,5,,3,17,3,2,14,Occidental Mindoro,01/09/2023,1,12,15,9,9,2,2,2,,5,2,,2,1,1,3,,,1,4,,1,8,8,6,4,1,,2,,,,,,,,2,,3,,,,1,,,,1,1,,,1,,,,,,,,1,,,2,,,,,,,6,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,21,3,24,4,13,25,14,8,1,4,4,6,1,34,Oriental Mindoro,01/09/2023,1,34,15,7,9,2,3,2,2,7,8,2,3,2,2,23,2,,,18,,4,3,22,5,7,1,,1,,3,13,,,1,3,,,,,,2,,1,,,,3,,,4,,,,2,6,,,3,1,2,1,,,2,4,2,,2,,5,,,,,,,1,,1,2,,,,,,1,1,,,,,,,,2,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,163,176,97,9,44,110,164,49,7,20,28,41,40,243,Pampanga,01/09/2023,65,230,78,58,29,3,13,19,30,17,26,6,52,14,45,36,53,1,22,29,1,11,32,315,10,65,11,,10,11,26,,4,,47,4,7,,5,,9,25,5,1,2,,10,13,,,3,2,10,7,3,10,,,27,6,4,25,1,7,1,2,,1,28,2,4,,,,6,1,5,1,1,10,5,1,1,,,2,26,3,,1,35,,2,,,,,,6,,,4,1,6,,8,,2,,5,1,,,,,2,,4,,1,,4,,,,,1,3,,,,,,2,,2,,1,1,3,,,,,,,,2,,,,4,,1,1,,,,,,,,,1,15,4,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,74,155,32,11,50,123,112,28,,8,49,34,45,291,Pangasinan,01/09/2023,27,303,52,42,50,4,14,20,14,26,28,4,50,10,25,129,5,3,23,30,,8,29,371,13,59,1,,11,,41,5,2,,31,6,10,,1,,1,10,,4,,,20,8,1,,,,7,1,1,3,,,9,5,,16,1,9,3,,,,29,,3,,,4,4,,4,1,1,5,6,,,,,2,37,10,,1,3,1,,,,,,1,2,,,,3,19,,3,,3,,,,,,,,,,2,,,,,,,,,,,,,,1,,2,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,46,21,49,9,20,67,6,13,3,2,11,8,15,43,Quezon,01/09/2023,7,39,19,12,25,,9,8,5,5,10,2,9,2,12,24,4,,1,35,,4,4,16,8,6,5,,6,3,6,10,,,4,,5,,3,,1,3,1,1,2,,13,4,1,,,,3,,,14,,,4,1,,1,,4,2,1,,,6,,1,,,,,,,,,,,1,,,,5,2,8,,57,,1,,,,,,,2,,,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,1,,,,,1,,,,,,,,Quirino,01/09/2023,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,110,96,137,9,81,132,47,30,3,17,13,15,23,92,Rizal,01/09/2023,26,76,46,21,47,1,16,9,5,6,45,3,32,6,40,150,11,1,10,18,2,1,32,52,26,27,11,,19,5,3,18,,,9,,5,,13,1,2,12,2,2,2,,4,5,,4,,,3,1,6,9,,,10,1,4,33,7,8,15,4,,,14,,10,,,1,3,,,2,,2,3,1,,,,,16,1,,3,2,,,,,1,,2,2,1,,2,5,2,35,1,1,,,,2,,,,,,1,2,,,,,,,1,,1,,,,,1,1,,1,,,1,,,,,,,,2,,1,,,,3,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
20,1,2,7,,2,10,,1,,,1,2,2,10,Romblon,01/09/2023,,12,3,1,3,3,,,,,,,,1,1,4,1,,1,3,,1,1,,2,,1,,,,,,,,2,,,,2,,,,,,,,1,,,,,,,,,,,,,,,3,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,12,5,35,2,8,44,7,13,1,2,6,10,6,14,Samar,01/09/2023,5,22,12,9,5,4,3,5,4,12,3,3,6,1,10,45,6,,7,4,,,1,2,7,4,,1,3,1,,12,,,,1,,,1,1,1,,,1,,5,7,5,,,,,,,1,1,,,3,,,2,,,3,,,,1,,2,,,,,,,,,,,,,,,,2,,,3,,,,,,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
13,2,1,1,,,2,,,,,,1,3,2,Sarangani,01/09/2023,,3,,,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
15,4,,,,4,18,,3,,,3,3,,10,Siquijor,01/09/2023,,8,3,3,1,15,,,1,1,,,1,2,2,1,2,,,12,,,,1,,1,1,,1,,,1,,,,,4,,1,,3,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,7,6,1,1,8,,1,,,7,1,1,5,Sorsogon,01/09/2023,1,8,5,,2,,1,,2,3,2,,,4,1,2,,,,5,,,,1,2,1,,,,,,2,,,,,1,,2,,,,,,,,1,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,32,14,39,5,4,16,11,4,,1,2,4,14,44,South Cotabato,01/09/2023,12,22,6,2,7,1,3,1,7,,13,,5,,5,15,3,,,5,2,4,10,4,2,4,1,,48,,3,3,,,,,4,,,,5,5,,,,,2,,,,,,,,,,,,13,4,,1,2,,,1,,,1,,2,,,,,,,,,,,,,,,,,2,,,,,2,,,,,1,2,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,
57,14,8,26,6,5,57,1,5,,3,4,4,5,27,Southern Leyte,01/09/2023,2,27,10,12,6,5,,1,5,5,8,,7,1,1,5,7,,,10,,1,6,,2,6,,,,,4,4,,1,,,1,,3,,,1,,,,,6,2,1,,,,,,4,1,,,1,3,,4,,,3,3,,2,2,,11,,,,,,,,,,,,,,,,1,1,,3,,,,,,,,1,,1,,2,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,
11,3,5,26,1,2,12,6,,,,8,1,2,12,Sultan Kudarat,01/09/2023,,5,3,,3,,,,1,,5,,1,1,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,1,,,,,Sulu,01/09/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,11,4,10,,9,29,2,5,1,3,6,8,1,9,Surigao del Norte,01/09/2023,3,13,12,6,5,6,,2,,7,2,3,1,5,7,10,3,,3,1,,3,,1,4,,2,,,,4,9,,,1,2,5,,2,,,2,3,1,,1,6,2,,,,,,,,1,,8,1,,1,1,,3,1,,,,3,,7,,,,,,,,,,,,,,,,2,6,,2,2,,,,,,,,,,,4,,1,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
117,9,1,8,1,3,24,2,2,1,2,2,8,2,13,Surigao del Sur,01/09/2023,2,11,5,4,8,2,,1,1,2,2,1,1,1,2,2,2,,1,1,,2,3,2,1,,2,,3,,,,,,1,,1,,1,,,1,,,,,4,2,,,,,,,,,,,2,2,,1,1,1,4,2,,,1,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,1,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,63,53,65,14,48,128,40,13,,10,17,45,29,163,Tarlac,01/09/2023,18,119,45,8,38,,6,21,10,29,16,2,32,1,10,45,11,,12,16,,13,19,182,14,21,2,,3,,25,27,,,15,1,12,,6,,,11,2,11,,,16,10,,,3,2,17,1,2,6,,,10,1,1,9,4,7,9,5,,,24,3,18,,,,6,,1,4,,1,2,,,,,2,18,22,,,6,,,,,,,,,,,,4,3,,3,,,,5,1,,,,,,,1,,,,,,,,,,,,,2,,,2,,,,,,1,,,,,,1,,1,,,,1,1,,,,,,,,,1,,,3,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,1,1,1,,
1,1,,,,1,1,,,,,,1,,,Tawi-Tawi,01/09/2023,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,31,34,35,8,20,56,12,3,,,9,19,3,11,Zambales,01/09/2023,8,29,6,12,32,1,2,2,3,,11,,5,2,11,333,13,,2,3,,1,3,3,1,6,3,,,,1,36,1,,4,1,1,,3,,,4,,,,,1,,1,,,,1,,,1,,,3,4,1,2,1,,4,,,,1,,2,,,,1,1,,1,,,,,,,,,3,1,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8,3,8,1,2,7,,,,,6,1,4,10,Zamboanga del Norte,01/09/2023,9,6,4,1,1,1,,,2,,1,,1,,,1,1,,,,,1,1,1,,1,,,1,,,,,,1,,2,,,,,,,,,,1,,,,,,,,,1,,,1,2,,1,,,1,,,,,,,,,,,,,,,,,1,,,,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20,9,31,2,1,37,8,4,,4,24,5,6,12,Zamboanga del Sur,01/09/2023,14,19,12,15,5,,2,1,3,7,11,,7,10,1,1,2,,,8,,1,,,2,3,1,,3,1,9,11,,,,,4,,1,,13,5,3,,,,10,1,1,,,,,,2,1,,,1,1,,1,,2,4,3,,,2,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,1,2,1,1,1,2,,,,,,,,,Zamboanga Sibugay,01/09/2023,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
